GEOUNIT,Polio_2014,PAB_2014,Hib3_2014,HepB_2014,POP_EST,,,
Afghanistan,75,70,75,75,28400000,,,
Aland,,,,,27153,,,
Albania,98,92,98,98,3639453,,,
Algeria,95,92,95,95,34178188,,,
American Samoa,,,,,65628,,,
Andorra,97,,97,96,83888,,,
Angola,81,,80,80,12799293,,,
Anguilla,,,,,14436,,,
Antarctica,,,,,3802,,,
Antigua and Barbuda,96,,99,99,85632,,,
Argentina,92,,94,94,40913584,,,
Armenia,95,,93,93,2967004,,,
Aruba,,,,,103065,,,
Ashmore and Cartier Islands,,,,,-99,,,
Australia,92,,91,91,21262641,,,
Austria,83,,83,83,8210281,,,
Azerbaijan,97,,94,94,8238672,,,
Bahrain,99,98,99,99,727785,,,
Bangladesh,99,96,95,95,156050883,,,
Barbados,95,,94,94,284589,,,
Belarus,97,,20,97,9648533,,,
Belgium,99,,98,98,10414336,,,
Belize,95,91,95,95,307899,,,
Benin,72,93,70,70,8791832,,,
Bermuda,,,,,67837,,,
Bhutan,72,83,99,99,691141,,,
Bolivia,95,87,94,94,9775246,,,
Bosnia and Herzegovina,86,,79,89,4613414,,,
Botswana,96,92,96,95,1990876,,,
Brazil,96,93,95,96,198739269,,,
British Indian Ocean Territory,,,,,4000,,,
British Virgin Islands,,,,,24491,,,
Brunei,99,95,96,99,388190,,,
Bulgaria,88,,83,95,7204687,,,
Burkina Faso,91,89,91,91,15746232,,,
Burundi,95,85,95,95,8988091,,,
Cambodia,98,91,97,97,14494293,,,
Cameroon,86,85,87,87,18879301,,,
Canada,96,,96,75,33487208,,,
Cape Verde,,,95,95,429474,,,
Cayman Islands,,,,,49035,,,
Central African Republic,47,60,47,47,4511488,,,
Chad,54,60,46,46,10329208,,,
Chile,92,,92,92,16601707,,,
China,99,,,99,1338612970,,,
Colombia,91,60,90,90,45644023,,,
Comoros,79,85,80,80,752438,,,
Cook Islands,99,,99,99,11870,,,
Costa Rica,91,,91,91,4253877,,,
Croatia,95,,95,95,4489409,,,
Cuba,99,,96,96,11451652,,,
Curaçao,,,,,141766,,,
Cyprus,99,,96,96,531640,,,
Czech Republic,99,,99,99,10211904,,,
Democratic Republic of the Congo,79,82,80,80,68692542,,,
Denmark,94,,94,,5500510,,,
Djibouti,78,80,78,78,516055,,,
Dominica,97,,97,97,72660,,,
Dominican Republic,90,90,87,89,9650054,,,
East Timor,,,,,1131612,,,
Ecuador,84,85,83,83,14573101,,,
Egypt,94,86,94,94,83082869,,,
El Salvador,93,90,93,93,7185218,,,
Equatorial Guinea,30,70,24,24,650702,,,
Eritrea,94,94,94,94,5647168,,,
Estonia,93,,93,93,1299371,,,
Ethiopia,75,80,77,77,85237338,,,
Falkland Islands,,,,,3140,,,
Faroe Islands,,,,,48856,,,
Federated States of Micronesia,,,,,107434,,,
Fiji,99,94,99,99,944720,,,
Finland,98,,98,,5250275,,,
France,99,,98,82,64057792,,,
French Polynesia,,,,,287032,,,
French Southern and Antarctic Lands,,,,,140,,,
Gabon,68,85,70,70,1514993,,,
Gambia,97,92,96,96,1782893,,,
Georgia,91,,91,91,4615807,,,
Germany,95,,94,87,82329758,,,
Ghana,98,88,98,98,23832495,,,
Greece,99,,99,96,10737428,,,
Greenland,,,,,57600,,,
Grenada,81,,,97,90739,,,
Guam,,,,,178430,,,
Guatemala,65,85,73,73,13276517,,,
Guernsey,,,,,68633,,,
Guinea,42,80,51,51,10057975,,,
Guinea Bissau,78,80,80,80,1533964,,,
Guyana,97,99,98,,772298,,,
Haiti,55,81,48,98,9035536,,,
Heard Island and McDonald Islands,,,,,-99,,,
Honduras,85,94,85,85,7792854,,,
Hong Kong S.A.R.,,,,,7061200,,,
Hungary,99,,99,,9905596,,,
Iceland,90,,90,,306694,,,
India,82,87,20,70,1166079220,,,
Indian Ocean Territories,,,,,2069,,,
Indonesia,79,,21,78,240271522,,,
Iran,99,95,,99,66429284,,,
Iraq,67,72,64,62,31129225,,,
Ireland,96,,96,95,4203200,,,
Isle of Man,,,,,76512,,,
Israel,94,,94,97,7233701,,,
Italy,94,,94,94,58126212,,,
Ivory Coast,,,,,20617068,,,
Jamaica,94,80,92,92,2825928,,,
Japan,99,,,,127078679,,,
Jersey,,,,,91626,,,
Jordan,98,90,98,98,6342948,,,
Kazakhstan,95,,95,95,15399437,,,
Kenya,81,76,81,81,39002772,,,
Kiribati,79,,75,75,112850,,,
Kosovo,,,,,1804838,,,
Kuwait,94,95,95,96,2691158,,,
Kyrgyzstan,95,,96,96,5431747,,,
Laos,88,90,88,88,6834942,,,
Latvia,92,,92,92,2231503,,,
Lebanon,75,,81,81,4017095,,,
Lesotho,95,83,96,96,2130819,,,
Liberia,49,89,50,50,3441790,,,
Libya,94,,94,94,6310434,,,
Liechtenstein,,,,,34761,,,
Lithuania,93,,93,94,3555179,,,
Luxembourg,99,,99,94,491775,,,
Macao S.A.R,,,,,559846,,,
Macedonia,96,,94,97,2066718,,,
Madagascar,73,78,73,73,20653556,,,
Malawi,87,89,91,91,14268711,,,
Malaysia,97,90,97,96,25715819,,,
Maldives,99,95,99,99,396334,,,
Mali,84,85,77,77,12666987,,,
Malta,99,,99,90,405165,,,
Marshall Islands,77,,65,79,64522,,,
Mauritania,84,80,84,84,3129486,,,
Mauritius,98,95,97,97,1284264,,,
Mexico,87,88,87,84,111211789,,,
Moldova,92,,89,92,4320748,,,
Monaco,99,,99,99,32965,,,
Mongolia,99,,99,99,3041142,,,99
Montenegro,91,,91,87,672180,,,
Montserrat,,,,,5097,,,
Morocco,99,88,99,99,34859364,,,
Mozambique,78,83,78,78,21669278,,,
Myanmar,76,87,75,75,48137741,,,
Namibia,88,85,88,88,2108665,,,
Nauru,95,,95,95,14019,,,
Nepal,92,82,92,92,28563377,,,
Netherlands,96,,96,95,16715999,,,
New Caledonia,,,,,227436,,,
New Zealand,93,,93,93,4213418,,,
Nicaragua,99,81,98,98,5891199,,,
Niger,67,81,68,68,15306252,,,
Nigeria,66,55,66,66,149229090,,,
Niue,99,,99,99,1398,,,
Norfolk Island,,,,,2141,,,
North Korea,,,,,22665345,,,
Northern Cyprus,,,,,265100,,,
Northern Mariana Islands,,,,,88662,,,
Norway,93,,94,,4676305,,,
Oman,99,98,99,98,3418085,,,
Pakistan,72,75,73,73,176242949,,,
Palau,95,,,99,20796,,,
Palestine,,,,,4119083,,,
Panama,80,,80,80,3360474,,,
Papua New Guinea,53,70,62,62,6057263,,,
Paraguay,83,85,87,87,6995655,,,
Peru,79,85,88,88,29546963,,,
Philippines,84,87,79,79,97976603,,,
Pitcairn Islands,,,,,48,,,
Poland,95,,99,96,38482919,,,
Portugal,98,,98,98,10707924,,,
Puerto Rico,,,,,3971020,,,
Qatar,99,,99,99,833285,,,
Republic of Congo,,,,,4012809,,,
Republic of Serbia,,,,,7379339,,,
Romania,94,,92,94,22215421,,,
Russia,97,,31,97,140041247,,,
Rwanda,99,,99,99,10473282,,,
Saint Barthelemy,,,,,7448,,,
Saint Helena,,,,,7637,,,
Saint Kitts and Nevis,93,,98,98,40131,,,
Saint Lucia,99,,99,99,160267,,,
Saint Martin,,,,,36661,,,
Saint Pierre and Miquelon,,,,,7051,,,
Saint Vincent and the Grenadines,,,98,98,104574,,,
Samoa,91,,91,91,219998,,,
San Marino,80,,79,80,30324,,,
Sao Tome and Principe,95,,95,95,212679,,,
Saudi Arabia,98,,98,98,28686633,,,
Senegal,85,91,89,89,13711597,,,
Seychelles,99,,99,99,87476,,,
Siachen Glacier,,,,,6000,,,
Sierra Leone,83,85,83,83,6440053,,,
Singapore,97,,,97,4657542,,,
Sint Maarten,,,,,37429,,,
Slovakia,97,,97,97,5463046,,,
Slovenia,95,,95,,2005692,,,
Solomon Islands,94,85,88,88,595613,,,
Somalia,47,64,42,42,9832017,,,
Somaliland,,,,,3500000,,,
South Africa,71,80,70,74,49052489,,,
South Georgia and South Sandwich Islands,,,,,30,,,
South Korea,99,93,97,99,48508972,,,
South Sudan,44,64,,,10625176,,,
Spain,97,,96,96,40525002,,,
Sri Lanka,,95,99,99,21324791,,,
Sudan,94,74,94,94,25946220,,,
Suriname,85,93,85,85,481267,,,
Swaziland,98,88,98,98,1123913,,,
Sweden,98,,98,42,9059651,,,
Switzerland,96,,95,,7604467,,,
Syria,52,92,43,71,20178485,,,
Taiwan,,,,,22974347,,,
Tajikistan,94,,97,97,7349145,,,
Tanzania,97,88,97,97,41048532,,,
Thailand,99,95,,,65905410,,,
The Bahamas,,,,,309156,,,
Togo,85,81,87,87,6019877,,,
Tonga,84,,82,82,120898,,,
Trinidad and Tobago,94,,92,92,1310000,,,
Tunisia,98,96,98,98,10486339,,,
Turkey,96,90,96,96,76805524,,,
Turkmenistan,98,,97,97,4884887,,,
Turks and Caicos Islands,,,,,22942,,,
Uganda,82,85,78,78,32369558,,,
Ukraine,74,,83,46,45700395,,,
United Arab Emirates,94,,94,94,4798491,,,
United Kingdom,95,,95,,62262000,,,
United States of America,93,,93,90,313973000,,,
United States Virgin Islands,,,,,109825,,,
Uruguay,95,,95,95,3494382,,,
Uzbekistan,99,,99,99,27606007,,,
Vanuatu,65,75,64,64,218519,,,
Vatican,,,,,832,,,
Venezuela,79,75,78,78,26814843,,,
Vietnam,,91,95,95,86967524,,,
Wallis and Futuna,,,,,15289,,,
Western Sahara,,,,,-99,,,
Yemen,88,70,88,88,23822783,,,
Zambia,78,85,86,86,11862740,,,
Zimbabwe,92,75,91,91,12619600,,,